,dino,brightness_ranking,contrast_ranking,details_ranking,colours_ranking,quality_ranking,brightness_rating,contrast_rating,details_rating,colours_rating,quality_rating
0,durand02,tumblin99,reinhard02,pattanaik02,reinhard02,reinhard02,reinhard02,reinhard02,reinhard02,reinhard02,reinhard02
1,schlick94,pattanaik02,ward97,reinhard02,clip,ward97,lcis99,lcis99,lcis99,tumblin99,lcis99
2,ward94,drago03,drago03,ashikmin02,tumblin99,tumblin99,ward97,ward97,ashikmin02,ward97,ward97
3,fattal02,reinhard02,tumblin99,ward97,ward97,ward94,choudhury03,ward94,choudhury03,ward94,choudhury03
4,clip,clip,pattanaik02,clip,ward94,schlick94,tumblin99,tumblin99,ward97,lcis99,schlick94
5,tumblin99,ward97,ward94,tumblin99,drago03,drago03,pattanaik02,choudhury03,pattanaik02,schlick94,tumblin99
6,ward97,durand02,ashikmin02,fattal02,pattanaik02,clip,drago03,schlick94,fattal02,clip,ward94
7,reinhard02,ashikmin02,clip,choudhury03,ashikmin02,ashikmin02,ashikmin02,pattanaik02,tumblin99,pattanaik02,pattanaik02
8,drago03,ward94,schlick94,drago03,schlick94,pattanaik02,ward94,clip,ward94,choudhury03,ashikmin02
9,lcis99,choudhury03,lcis99,durand02,choudhury03,fattal02,schlick94,ashikmin02,schlick94,drago03,drago03
10,choudhury03,lcis99,choudhury03,schlick94,fattal02,lcis99,clip,drago03,drago03,ashikmin02,clip
11,pattanaik02,schlick94,fattal02,lcis99,durand02,durand02,fattal02,fattal02,durand02,chiu93,fattal02
12,ashikhmin02,fattal02,durand02,ward94,lcis99,choudhury03,durand02,chiu93,clip,durand02,durand02
13,chiu93,chiu93,chiu93,chiu93,chiu93,chiu93,chiu93,durand02,chiu93,fattal02,chiu93
