,dino,brightness_ranking,contrast_ranking,details_ranking,colours_ranking,quality_ranking,brightness_rating,contrast_rating,details_rating,colours_rating,quality_rating
0,schlick94,durand02,clip,clip,clip,durand02,pattanaik02,pattanaik02,pattanaik02,pattanaik02,pattanaik02
1,reinhard02,clip,durand02,durand02,ward94,clip,ward94,ward94,reinhard02,ward94,ward94
2,ward94,ward94,ward94,ward94,durand02,ward94,clip,durand02,ward94,durand02,durand02
3,clip,reinhard02,pattanaik02,pattanaik02,reinhard02,schlick94,durand02,schlick94,schlick94,clip,clip
4,durand02,pattanaik02,schlick94,schlick94,pattanaik02,reinhard02,tumblin99,clip,durand02,reinhard02,tumblin99
5,pattanaik02,schlick94,reinhard02,reinhard02,schlick94,pattanaik02,ashikmin02,tumblin99,clip,schlick94,schlick94
6,ward97,ward97,tumblin99,tumblin99,tumblin99,tumblin99,lcis99,reinhard02,ashikmin02,tumblin99,reinhard02
7,tumblin99,tumblin99,ward97,ward97,ward97,ward97,schlick94,lcis99,lcis99,ward97,lcis99
8,drago03,choudhury03,choudhury03,lcis99,lcis99,lcis99,drago03,ward97,choudhury03,lcis99,choudhury03
9,lcis99,lcis99,lcis99,choudhury03,choudhury03,choudhury03,reinhard02,choudhury03,tumblin99,choudhury03,ward97
10,choudhury03,ashikmin02,drago03,ashikmin02,ashikmin02,drago03,choudhury03,drago03,ward97,ashikmin02,ashikmin02
11,ashikhmin02,drago03,ashikmin02,drago03,drago03,ashikmin02,fattal02,ashikmin02,drago03,drago03,drago03
12,fattal02,fattal02,fattal02,fattal02,fattal02,fattal02,chiu93,fattal02,fattal02,fattal02,fattal02
13,chiu93,chiu93,chiu93,chiu93,chiu93,chiu93,ward97,chiu93,chiu93,chiu93,chiu93
