indoor,indoor,indoor,indoor,indoor,indoor,outdoor,outdoor,outdoor,outdoor,outdoor,outdoor,night,night,night,night,night,night
tm,brightness,contrast,details,colours,quality,tm,brightness,contrast,details,colours,quality,tm,brightness,contrast,details,colours,quality
ashikmin02,7.3,6.5,9.6,5,7.5,ashikmin02,6.6,6,7.9,7.1,5.2,ashikmin02,8.2,4.8,8.5,5.2,4.8
chiu93,2.5,2.7,3.3,3.5,1.9,chiu93,2.9,2.6,5.3,4.4,1.8,chiu93,3.9,1.1,1.2,1.3,1.1
choudhury03,10.2,8.8,9.6,7.7,10.4,choudhury03,6,6.1,7.8,7.1,7.7,choudhury03,6.7,5.6,7.3,6.5,6.9
clip,6.3,6.6,3.6,8.4,5.7,clip,10.3,10.7,9.4,10.1,11.8,clip,10,9.8,8.8,10.4,10.2
drago03,7.5,5.8,5.1,6.5,7.2,drago03,6.2,6.8,6.1,5,5.7,drago03,6.9,4.9,5.2,3.9,4.4
durand02,2.9,2.2,5,2.4,2.75,durand02,7.8,10.4,7,9,10.1,durand02,8.9,10.9,8.9,10.9,11
fattal02,3.7,3.8,8.2,2.4,3.4,fattal02,4.4,2.9,5.5,2,2.3,fattal02,5.7,3.7,3,2.6,2.1
lcis99,11.2,10.8,9.8,9.3,11.9,lcis99,7.8,7.8,8.7,8.5,7.7,lcis99,7.6,6.9,7.5,6.5,7.7
pattanaik02,8.2,8.2,9.4,8.1,7.6,pattanaik02,2.3,2.1,4.8,3.1,2.3,pattanaik02,10.4,12.2,12.7,11.7,12.5
reinhard02,11.9,12.1,11.8,12.6,11.9,reinhard02,13.1,12,9.7,11.7,9.7,reinhard02,6.8,8.5,9.8,10,8.7
schlick94,6.9,8.7,6.7,9.1,8.2,schlick94,10.6,10.3,9.7,9.8,11.1,schlick94,7.5,10.9,9.5,9.3,8.8
tumblin99,9,9.6,6.9,10.4,8,tumblin99,10.3,8.4,7.3,9.8,11.2,tumblin99,8.8,8.6,6.8,8.4,9.4
ward94,7.1,9.7,6.8,9.8,7.9,ward94,7.4,10.2,7.2,9.1,9.7,ward94,10.2,11.1,9.6,11.5,11.9
ward97,10.4,9.7,9.4,10,10.8,ward97,9.7,9,8.9,8.7,8.9,ward97,3.7,6.3,6.5,6.9,5.9
